,f_khz,Vr,Vl,Vc,Vt,Degree
0,10.0,0.356,0.496,5.4,5.0,-85.1
1,12.0,0.432,0.7,5.56,5.0,-82.0
2,14.0,0.52,0.984,5.84,5.0,-80.9
3,16.0,0.648,1.36,6.28,5.04,-78.6
4,18.0,0.768,1.82,6.64,5.0,-81.4
5,20.0,0.912,2.38,7.12,5.0,-78.0
6,22.0,1.14,3.16,8.0,5.0,-72.8
7,24.0,1.38,4.24,9.04,5.0,-72.3
8,25.0,1.5,4.88,9.6,5.0,-68.2
9,26.0,1.7,5.68,10.4,5.0,-65.5
10,27.0,1.9,6.8,11.3,5.04,-63.0
11,28.0,2.16,8.0,12.2,5.0,-58.0
12,29.0,2.44,10.0,14.0,5.0,-55.1
13,30.0,2.74,10.8,15.2,5.0,-49.7
14,31.0,3.18,13.0,17.0,5.0,-41.9
15,32.0,3.72,16.0,18.8,5.0,-34.0
16,34.0,4.48,20.6,21.4,5.0,9.22
17,36.0,4.48,21.4,20.2,5.04,16.2
18,38.0,3.76,18.5,16.2,5.04,37.0
19,40.0,3.04,16.2,12.6,5.04,50.9
20,43.0,2.32,12.8,8.4,5.08,59.8
21,45.0,1.9,12.0,6.88,5.0,67.7
22,50.0,1.42,9.2,4.64,4.06,74.4
23,60.0,0.952,7.4,2.6,5.08,78.2
